Date,ABEV3.SA,ODPV3.SA,VIVT3.SA,PBR,BBAS3.SA,BOVA11.SA
2015-01-02,12.619536399841309,7.713201522827148,24.513519287109375,6.566310882568359,16.429702758789062,47.2599983215332
2015-01-05,12.39108943939209,7.918995380401611,24.027387619018555,5.89608097076416,16.08877944946289,46.31999969482422
2015-01-06,12.863731384277344,7.861372470855713,23.431079864501953,5.847513198852539,16.31365203857422,46.58000183105469
2015-01-07,13.044909477233887,7.976616382598877,24.234813690185547,6.0223565101623535,17.031766891479492,48.150001525878906
2015-01-08,13.830948829650879,7.95192289352417,25.220014572143555,6.566310882568359,17.089794158935547,48.5099983215332
2015-01-09,13.797503471374512,8.12479019165039,24.818153381347656,6.857714653015137,16.349910736083984,47.529998779296875
2015-01-12,13.973104476928711,8.067169189453125,24.857044219970703,6.3817548751831055,16.0670223236084,46.83000183105469
2015-01-13,13.973104476928711,8.289426803588867,25.51816749572754,6.585738182067871,15.972723007202148,46.63999938964844
2015-01-14,14.01491641998291,8.190644264221191,25.80335807800293,6.624591827392578,16.08877944946289,46.47999954223633
2015-01-15,14.04000473022461,7.95192289352417,26.250591278076172,6.712013244628906,15.987229347229004,47.0
2015-01-16,14.140348434448242,8.31412124633789,26.76913070678711,6.857714653015137,16.175825119018555,47.599998474121094
2015-01-19,13.881125450134277,8.478760719299316,26.574678421020508,,16.103290557861328,46.310001373291016
2015-01-20,14.131983757019043,8.651626586914062,27.216358184814453,6.614878177642822,16.030759811401367,46.52000045776367
2015-01-21,14.29086685180664,8.849187850952148,28.065452575683594,7.139406204223633,16.436960220336914,47.810001373291016
2015-01-22,14.449747085571289,8.519915580749512,27.80618667602539,7.430810451507568,16.574779510498047,48.119998931884766
2015-01-23,14.24069595336914,8.31412124633789,27.85803985595703,7.042271614074707,16.531261444091797,47.29999923706055
2015-01-26,14.207246780395508,8.3552827835083,27.203401565551758,7.0228447914123535,16.34265899658203,47.189998626708984
2015-01-27,14.182159423828125,8.478760719299316,26.833942413330078,7.2365403175354,16.683584213256836,47.34000015258789
2015-01-28,14.24069595336914,8.561076164245605,27.44322967529297,6.37204122543335,15.965466499328613,46.33000183105469
2015-01-29,14.767508506774902,8.544614791870117,27.067283630371094,6.216625690460205,15.631794929504395,46.380001068115234
2015-01-30,14.792593002319336,8.519915580749512,26.574678421020508,5.8378005027771,14.98620891571045,45.61000061035156
2015-02-02,14.625351905822754,8.65986156463623,26.88579559326172,6.226338863372803,14.652543067932129,46.27000045776367
2015-02-03,14.675522804260254,8.684550285339355,27.52747917175293,7.081125736236572,15.124030113220215,47.63999938964844
2015-02-04,14.499918937683105,8.758639335632324,27.741371154785156,7.051984786987305,16.175825119018555,47.77000045776367
2015-02-05,14.834406852722168,8.725712776184082,28.1886043548584,6.906282901763916,16.531261444091797,47.880001068115234
2015-02-06,14.97655963897705,8.758639335632324,27.566362380981445,6.352614402770996,15.885682106018066,47.29999923706055
2015-02-09,15.193977355957031,8.569307327270508,26.898759841918945,6.527456760406494,16.29188346862793,47.91999816894531
2015-02-10,15.085265159606934,8.437600135803223,27.57932472229004,6.051496982574463,15.747854232788086,47.15999984741211
2015-02-11,15.085265159606934,8.231805801391602,27.574058532714844,6.051496982574463,15.921945571899414,46.95000076293945
2015-02-12,15.127080917358398,8.272958755493164,28.947370529174805,6.352614402770996,16.763383865356445,48.130001068115234
