Date,GOLL4.SA,CVCB3.SA,WEGE3.SA,MGLU3.SA,TOTS3.SA,BOVA11.SA
2015-01-02,14.989999771118164,13.63971996307373,10.6256742477417,0.2154146283864975,10.723140716552734,47.2599983215332
2015-01-05,14.850000381469727,13.460250854492188,10.698119163513184,0.21946275234222412,10.393658638000488,46.31999969482422
2015-01-06,15.210000038146973,13.280780792236328,10.539427757263184,0.21657124161720276,9.743680000305176,46.58000183105469
2015-01-07,14.550000190734863,13.164125442504883,10.418679237365723,0.22380037605762482,9.674789428710938,48.150001525878906
2015-01-08,14.270000457763672,12.697503089904785,10.594624519348145,0.2220655381679535,9.899435043334961,48.5099983215332
2015-01-09,14.050000190734863,12.56290054321289,10.546327590942383,0.21454767882823944,9.79759693145752,47.529998779296875
2015-01-12,14.25,12.069358825683594,10.487679481506348,0.21686086058616638,10.393658638000488,46.83000183105469
2015-01-13,13.6899995803833,12.464191436767578,10.525627136230469,0.21454767882823944,10.034226417541504,46.63999938964844
2015-01-14,13.779999732971191,12.356510162353516,10.694670677185059,0.21107791364192963,9.959341049194336,46.47999954223633
2015-01-15,14.050000190734863,12.56290054321289,10.694670677185059,0.2127782553434372,9.76464557647705,47.0
2015-01-16,14.329999923706055,12.715450286865234,10.694670677185059,0.21453194320201874,10.483518600463867,47.599998474121094
2015-01-19,13.579999923706055,12.876973152160645,10.749871253967285,0.21336284279823303,9.668800354003906,46.310001373291016
2015-01-20,13.069999694824219,12.56290054321289,10.884414672851562,0.2045944780111313,9.944363594055176,46.52000045776367
2015-01-21,12.9399995803833,12.652636528015137,10.767121315002441,0.2060554176568985,10.483518600463867,47.810001373291016
2015-01-22,13.510000228881836,12.823131561279297,10.856816291809082,0.20517906546592712,10.474531173706055,48.119998931884766
2015-01-23,13.25,12.868000030517578,10.984461784362793,0.2060554176568985,10.33375072479248,47.29999923706055
2015-01-26,12.6899995803833,12.51803207397461,10.853364944458008,0.2045944780111313,10.124082565307617,47.189998626708984
2015-01-27,12.550000190734863,12.293695449829102,11.036210060119629,0.1987489014863968,10.019246101379395,47.34000015258789
2015-01-28,12.180000305175781,11.84502124786377,11.143157958984375,0.1931951940059662,10.258871078491211,46.33000183105469
